root;JHipster;Hibernate2ndLvlCache;HazelCast;EhCache;Server;MicroserviceApplication;UaaServer;BackEnd;Gradle;Maven;Generator;Authentication;SocialLogin;Database;SpringWebSockets;Libsass;ClusteredSession;InternationalizationSupport;Docker;TestingFrameworks;Production;MySQL;MariaDB;PostgreSQL;SQL;Cassandra;MongoDB;Development;H2;PostgreSQLDev;MariaDBDev;MySQLDev;DiskBased;InMemory;ElasticSearch;HTTPSession;OAuth2;Uaa;JWT;Protractor;Gatling;Cucumber;Application;MicroserviceGateway;Monolithic
1;1;1;1;0;0;0;0;1;0;1;1;1;0;1;0;0;1;0;1;1;1;0;0;1;1;0;0;1;1;0;0;0;0;1;1;0;0;0;1;1;1;1;1;0;1
1;1;1;1;0;0;0;0;1;1;0;1;1;0;1;0;0;1;0;1;1;1;0;1;0;1;0;0;1;1;0;0;0;0;1;1;0;0;0;1;1;1;1;1;0;1
1;1;1;0;1;1;0;1;1;0;1;1;1;0;1;0;0;0;0;0;1;1;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0
1;1;0;0;0;1;1;0;1;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0
1;1;0;0;0;1;1;0;1;1;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0
1;1;1;0;1;1;0;1;1;0;1;1;1;0;1;0;0;0;0;0;1;1;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0
1;1;1;1;0;0;0;0;1;1;0;1;1;1;1;1;1;1;0;0;1;1;0;0;1;1;0;0;1;1;0;0;0;0;1;1;0;0;0;1;1;1;1;1;0;1
1;1;0;0;0;0;0;0;1;0;1;1;1;0;1;0;0;0;0;0;1;1;0;0;1;1;0;0;1;0;1;0;0;0;0;1;0;1;0;0;1;1;1;1;0;1
1;1;1;1;0;0;0;0;1;0;1;1;1;1;1;1;1;1;0;0;1;1;0;1;0;1;0;0;1;1;0;0;0;0;1;1;0;0;0;1;1;1;1;1;0;1
1;1;0;0;0;1;0;1;1;1;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0
1;1;1;0;1;0;0;0;1;1;0;1;1;1;1;1;0;1;0;0;1;1;0;0;1;1;0;0;1;1;0;0;0;0;1;1;0;0;0;1;1;1;1;1;0;1
1;1;0;0;0;0;0;0;1;0;1;1;1;1;1;0;0;0;0;0;1;1;0;0;1;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;1;1;1;0;1
1;1;1;1;0;0;0;0;1;0;1;1;1;0;1;1;0;0;0;1;1;1;0;1;0;1;0;0;1;1;0;0;0;0;1;1;0;0;0;1;1;1;1;1;0;1
1;1;0;0;0;0;0;0;1;0;1;1;1;0;1;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;0
1;1;0;0;0;1;0;1;1;1;0;1;1;0;1;0;0;0;0;0;1;1;0;0;1;1;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0
1;1;0;0;0;1;0;1;1;0;1;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0
1;1;1;0;1;1;1;0;1;0;1;1;1;0;1;0;0;0;0;1;1;1;0;0;1;1;0;0;1;1;0;0;0;0;1;1;0;0;0;1;0;1;1;0;0;0
1;1;1;1;0;0;0;0;1;1;0;1;1;0;1;1;1;1;1;0;1;1;0;1;0;1;0;0;1;1;0;0;0;0;1;1;0;1;0;0;1;1;1;1;0;1
1;1;0;0;0;0;0;0;1;1;0;1;1;0;1;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;0
1;1;0;0;0;0;0;0;1;0;1;1;1;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;0
1;1;0;0;0;0;0;0;1;0;1;1;1;0;1;0;0;0;0;0;1;1;1;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;1;1;1;1;1;0
1;1;1;1;0;0;0;0;1;0;1;1;1;0;1;1;1;0;0;1;1;1;0;1;0;1;0;0;1;1;0;0;0;0;1;0;0;0;0;1;1;1;1;1;0;1
1;1;0;0;0;1;1;0;1;1;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0
1;1;1;1;0;0;0;0;1;1;0;1;1;0;1;1;1;1;1;0;1;1;0;1;0;1;0;0;1;1;0;0;0;0;1;1;0;0;1;0;1;1;1;1;1;0
1;1;0;0;0;0;0;0;1;0;1;1;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;0;1
1;1;0;0;0;1;0;1;1;1;0;1;1;0;1;0;0;0;0;0;1;1;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0
1;1;0;0;0;1;1;0;1;0;1;1;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0
1;1;0;0;0;1;0;1;1;1;0;1;1;0;1;0;0;0;0;0;1;1;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0
1;1;1;1;0;0;0;0;1;0;1;1;1;0;1;1;1;0;0;1;1;1;0;1;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;1;1;1;1;1;0;1
1;1;1;0;1;1;1;0;1;1;0;1;1;0;1;0;0;0;0;1;1;1;0;1;0;1;0;0;1;1;0;0;0;0;1;1;0;0;0;1;0;1;1;0;0;0
1;1;0;0;0;0;0;0;1;0;1;1;1;0;1;0;0;0;0;0;1;1;0;1;0;1;0;0;1;1;0;0;0;0;1;0;0;0;1;0;1;1;1;1;1;0
1;1;0;0;0;1;1;0;1;0;1;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0
1;1;1;1;0;0;0;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;0;1;1;0;0;0;0;1;1;0;0;0;1;1;1;1;1;0;1
1;1;1;1;0;0;0;0;1;1;0;1;1;0;1;1;1;1;1;0;1;1;0;1;0;1;0;0;1;1;0;0;0;1;0;1;0;0;0;1;1;1;1;1;0;1
1;1;1;1;0;0;0;0;1;0;1;1;1;0;1;1;1;1;0;1;1;1;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;1;1;1;1;1;0;1
1;1;1;0;1;0;0;0;1;1;0;1;1;0;1;1;1;1;1;1;1;1;0;0;1;1;0;0;1;1;0;0;0;0;1;1;0;0;0;1;1;1;1;1;0;1
1;1;1;1;0;0;0;0;1;1;0;1;1;0;1;0;0;0;0;1;1;1;0;0;1;1;0;0;1;1;0;0;0;1;0;1;0;1;0;0;1;1;1;1;0;1
1;1;1;0;1;0;0;0;1;0;1;1;1;0;1;0;0;0;0;1;1;1;0;1;0;1;0;0;1;1;0;0;0;0;1;0;0;0;0;1;1;1;1;1;0;1
1;1;0;0;0;1;1;0;1;1;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0
1;1;1;1;0;0;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0;0;1;1;0;0;0;0;1;1;0;0;0;1;1;1;1;1;0;1
1;1;1;0;1;0;0;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0;0;1;1;0;0;0;1;0;1;1;0;0;0;1;1;1;1;0;1
1;1;1;1;0;0;0;0;1;1;0;1;1;0;1;1;1;1;1;1;1;1;0;1;0;1;0;0;1;1;0;0;0;0;1;1;0;0;0;1;1;1;1;1;0;1
1;1;0;0;0;1;1;0;1;1;0;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0
1;1;1;1;0;0;0;0;1;0;1;1;1;0;1;0;0;0;0;1;1;1;0;1;0;1;0;0;1;1;0;0;0;1;0;1;0;1;0;0;1;1;1;1;0;1
1;1;1;0;1;0;0;0;1;0;1;1;1;0;1;1;1;1;1;1;1;1;0;1;0;1;0;0;1;1;0;0;0;0;1;1;0;0;0;1;1;1;1;1;0;1
1;1;0;0;0;1;1;0;1;1;0;1;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0
1;1;0;0;0;0;0;0;1;0;1;1;1;0;1;0;0;0;0;0;1;1;0;1;0;1;0;0;1;1;0;0;0;1;0;0;0;0;1;0;1;1;1;1;1;0
1;1;0;0;0;0;0;0;1;0;1;1;1;1;1;0;0;0;0;1;1;1;0;1;0;1;0;0;1;1;0;0;0;0;1;1;0;0;0;1;1;1;1;1;0;1
1;1;1;1;0;0;0;0;1;0;1;1;1;0;1;1;1;0;0;1;1;1;1;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;1;1;1;1;1;0;1
1;1;1;1;0;0;0;0;1;1;0;1;1;1;1;1;0;1;0;0;1;1;0;1;0;1;0;0;1;1;0;0;0;0;1;1;0;0;0;1;1;1;1;1;0;1
1;1;0;0;0;1;1;0;1;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0
1;1;0;0;0;0;0;0;1;0;1;1;1;1;1;1;1;1;0;0;1;1;0;1;0;1;0;0;1;1;0;0;0;0;1;1;0;0;0;1;1;1;1;1;0;1
1;1;1;1;0;0;0;0;1;0;1;1;1;1;1;0;1;0;1;0;1;1;0;1;0;1;0;0;1;1;0;0;0;0;1;0;0;0;0;1;1;1;1;1;0;1
1;1;0;0;0;1;1;0;1;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0
1;1;1;0;1;0;0;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;0;0;1;1;0;0;0;0;1;1;1;0;0;0;1;1;1;1;0;1
1;1;0;0;0;1;1;0;1;1;0;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0
1;1;0;0;0;0;0;0;1;1;0;1;1;0;1;0;0;0;0;0;1;1;1;0;0;1;0;0;1;1;0;0;0;0;1;0;0;0;1;0;1;1;1;1;1;0
1;1;1;0;1;1;0;1;1;1;0;1;1;0;1;0;0;0;0;0;1;1;0;0;1;1;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0
1;1;0;0;0;0;0;0;1;1;0;1;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;0
1;1;1;1;0;0;0;0;1;1;0;1;1;0;1;0;1;0;0;1;1;1;0;1;0;1;0;0;1;1;0;0;0;1;0;0;0;1;0;0;1;1;1;1;0;1
1;1;0;0;0;1;0;1;1;1;0;1;1;0;1;0;0;0;0;0;1;1;0;1;0;1;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;1;1;0;0;0
1;1;1;1;0;0;0;0;1;1;0;1;1;0;1;1;1;1;1;0;1;1;0;1;0;1;0;0;1;1;0;0;0;1;0;1;1;0;0;0;1;1;1;1;0;1
1;1;1;0;1;0;0;0;1;1;0;1;1;0;1;1;1;1;0;0;1;1;0;1;0;1;0;0;1;1;0;0;0;0;1;1;0;1;0;0;1;1;1;1;0;1
1;1;1;0;1;0;0;0;1;1;0;1;1;0;1;1;1;1;0;0;1;1;0;1;0;1;0;0;1;1;0;0;0;0;1;1;0;0;1;0;1;1;1;1;1;0
1;1;1;0;1;0;0;0;1;1;0;1;1;0;1;1;1;1;0;0;1;1;0;1;0;1;0;0;1;1;0;0;0;1;0;1;0;0;0;1;1;1;1;1;0;1
1;1;1;0;1;0;0;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;0;0;1;1;0;0;0;1;0;1;1;0;0;0;1;1;1;1;0;1
1;1;0;0;0;0;0;0;1;0;1;1;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;0
1;1;0;0;0;1;1;0;1;1;0;1;1;0;1;0;0;0;0;0;1;1;0;0;1;1;0;0;1;1;0;0;0;0;1;1;0;0;1;0;0;1;1;0;0;0
1;1;1;0;1;0;0;0;1;1;0;1;1;0;1;0;0;0;0;1;1;1;0;1;0;1;0;0;1;1;0;0;0;0;1;0;0;1;0;0;1;1;1;1;0;1
1;1;0;0;0;0;0;0;1;0;1;1;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;0
1;1;0;0;0;0;0;0;1;1;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;0;1
1;1;1;1;0;0;0;0;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;0;0;1;0;0;1;0;0;0;1;0;0;1;1;0;0;0;1;1;1;1;0;1
1;1;0;0;0;1;0;1;1;1;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0
1;1;0;0;0;1;1;0;1;0;1;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0
1;1;1;0;1;0;0;0;1;1;0;1;1;0;1;1;0;0;0;0;1;1;0;1;0;1;0;0;1;1;0;0;0;0;1;0;0;1;0;0;1;1;1;1;0;1
1;1;1;1;0;0;0;0;1;0;1;1;1;0;1;0;1;0;0;1;1;1;0;1;0;1;0;0;1;0;0;1;0;0;0;1;0;1;0;0;1;1;1;1;0;1
1;1;1;0;1;0;0;0;1;0;1;1;1;0;1;1;0;0;0;0;1;1;0;1;0;1;0;0;1;1;0;0;0;0;1;0;0;0;1;0;1;1;1;1;1;0
1;1;1;0;1;0;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;0;1;1;0;0;0;1;0;1;1;0;0;0;1;1;1;1;0;1
1;1;0;0;0;0;0;0;1;1;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;0
1;1;1;1;0;0;0;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;0;0;1;1;0;0;0;1;0;1;1;0;0;0;1;1;1;1;0;1
1;1;0;0;0;1;1;0;1;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0
1;1;1;1;0;0;0;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;0;1;1;0;0;0;1;0;1;0;0;0;1;1;1;1;1;0;1
1;1;1;1;0;0;0;0;1;1;0;1;1;0;1;0;1;0;0;1;1;1;1;0;0;1;0;0;1;0;0;0;1;0;0;1;0;1;0;0;1;1;1;1;0;1
1;1;0;0;0;1;1;0;1;0;1;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0
1;1;0;0;0;1;1;0;1;0;1;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0
1;1;1;0;1;0;0;0;1;1;0;1;1;0;1;1;0;0;0;0;1;1;0;0;1;1;0;0;1;0;1;0;0;0;0;1;0;0;1;0;1;1;1;1;1;0
1;1;0;0;0;0;0;0;1;1;0;1;1;0;1;1;1;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;0
1;1;0;0;0;1;1;0;1;1;0;1;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0
1;1;1;1;0;0;0;0;1;0;1;1;1;0;1;0;1;0;0;1;1;1;0;1;0;1;0;0;1;1;0;0;0;0;1;0;0;1;0;0;1;1;1;1;0;1
1;1;1;0;1;1;0;1;1;1;0;1;1;0;1;0;0;0;0;0;1;1;1;0;0;1;0;0;1;1;0;0;0;1;0;1;0;0;1;0;0;1;1;0;0;0
1;1;0;0;0;0;0;0;1;1;0;1;1;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;1
1;1;1;0;1;1;0;1;1;0;1;1;1;0;1;0;0;0;0;1;1;1;0;0;1;1;0;0;1;1;0;0;0;0;1;1;0;0;1;0;0;1;1;0;0;0
1;1;0;0;0;0;0;0;1;1;0;1;1;0;1;0;0;0;0;0;1;1;0;0;1;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;1;1;1;0;1
1;1;1;1;0;0;0;0;1;1;0;1;1;1;1;1;1;1;1;0;1;1;0;0;1;1;0;0;1;0;1;0;0;0;0;1;1;0;0;0;1;1;1;1;0;1
1;1;0;0;0;1;1;0;1;0;1;1;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0
1;1;0;0;0;0;0;0;1;1;0;1;1;0;1;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;0;1
1;1;1;1;0;0;0;0;1;0;1;1;1;0;1;0;1;0;1;0;1;1;0;1;0;1;0;0;1;1;0;0;0;0;1;0;0;1;0;0;1;1;1;1;0;1
1;1;1;1;0;0;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;0;0;1;1;0;0;0;1;0;1;0;0;0;1;1;1;1;1;0;1
1;1;1;0;1;0;0;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0;0;1;1;0;0;0;0;1;1;1;0;0;0;1;1;1;1;0;1
1;1;0;0;0;0;0;0;1;1;0;1;1;1;1;0;0;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;0;1
1;1;1;0;1;1;0;1;1;1;0;1;1;0;1;0;0;0;0;0;1;1;0;1;0;1;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0
1;1;0;0;0;0;0;0;1;1;0;1;1;0;1;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;1
1;1;1;0;1;0;0;0;1;1;0;1;1;0;1;0;0;0;0;0;1;1;0;0;1;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;1;1;1;0;1
1;1;1;0;1;1;0;1;1;1;0;1;1;0;1;0;0;0;0;0;1;1;0;1;0;1;0;0;1;1;0;0;0;1;0;1;0;0;1;0;0;1;1;0;0;0
1;1;0;0;0;1;1;0;1;1;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0
1;1;0;0;0;0;0;0;1;0;1;1;1;0;1;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;0;1
1;1;0;0;0;0;0;0;1;1;0;1;1;1;1;0;0;0;0;0;1;1;0;0;1;1;0;0;1;0;1;0;0;0;0;1;1;0;0;0;1;1;1;1;0;1
1;1;1;1;0;0;0;0;1;1;0;1;1;0;1;0;1;1;1;1;1;1;0;0;1;1;0;0;1;1;0;0;0;0;1;1;1;0;0;0;1;1;1;1;0;1
1;1;1;0;1;1;0;1;1;1;0;1;1;0;1;0;0;0;0;1;1;1;0;0;1;1;0;0;1;1;0;0;0;1;0;1;0;0;1;0;0;1;1;0;0;0
1;1;0;0;0;1;0;1;1;0;1;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0
1;1;1;1;0;0;0;0;1;0;1;1;1;1;1;0;0;1;1;0;1;1;0;0;1;1;0;0;1;0;1;0;0;0;0;1;0;0;0;1;1;1;1;1;0;1
1;1;0;0;0;0;0;0;1;1;0;1;1;1;1;1;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;0;1
1;1;1;1;0;0;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0;0;1;1;0;0;0;0;1;0;0;0;0;1;1;1;1;1;0;1
1;1;0;0;0;0;0;0;1;1;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;0
1;1;1;1;0;0;0;0;1;0;1;1;1;0;1;0;0;1;1;0;1;1;0;1;0;1;0;0;1;1;0;0;0;0;1;0;0;1;0;0;1;1;1;1;0;1
1;1;1;0;1;0;0;0;1;0;1;1;1;0;1;0;0;0;0;1;1;1;0;1;0;1;0;0;1;0;0;1;0;0;0;1;0;0;1;0;1;1;1;1;1;0
1;1;1;1;0;0;0;0;1;1;0;1;1;1;1;0;1;1;1;1;1;1;0;1;0;1;0;0;1;0;0;1;0;0;0;1;1;0;0;0;1;1;1;1;0;1
1;1;0;0;0;0;0;0;1;0;1;1;1;0;1;0;0;1;1;1;1;1;0;1;0;1;0;0;1;1;0;0;0;0;1;1;0;0;0;1;1;1;1;1;0;1
1;1;1;0;1;0;0;0;1;1;0;1;1;0;1;0;0;0;0;0;1;1;0;0;1;1;0;0;1;1;0;0;0;1;0;0;0;1;0;0;1;1;1;1;0;1
1;1;0;0;0;0;0;0;1;0;1;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;0;1
1;1;0;0;0;1;0;1;1;0;1;1;1;0;1;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0
1;1;1;0;1;0;0;0;1;1;0;1;1;0;1;0;0;0;1;0;1;1;0;1;0;1;0;0;1;0;0;1;0;0;0;1;0;0;1;0;1;1;1;1;1;0
1;1;0;0;0;0;0;0;1;1;0;1;1;0;1;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;0;1
1;1;1;0;1;0;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;0;1;1;0;0;0;1;0;1;0;0;0;1;1;1;1;1;0;1
1;1;1;0;1;0;0;0;1;1;0;1;1;0;1;0;0;0;0;0;1;1;1;0;0;1;0;0;1;0;0;0;1;0;0;1;0;1;0;0;1;1;1;1;0;1
1;1;0;0;0;1;1;0;1;1;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0
1;1;0;0;0;0;0;0;1;1;0;1;1;1;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;0;1
1;1;1;0;1;0;0;0;1;0;1;1;1;0;1;1;1;1;1;1;1;1;0;0;1;1;0;0;1;1;0;0;0;0;1;0;0;1;0;0;1;1;1;1;0;1
1;1;0;0;0;0;0;0;1;1;0;1;1;1;1;0;0;0;0;0;1;1;1;0;0;1;0;0;1;1;0;0;0;1;0;1;1;0;0;0;1;1;1;1;0;1
